1	2397-2.50-24	batch1	/data/cephfs/punim0586/rkano/VEGFA/1_VEGFA/porechop/cat/BC1cat.fastq
2	978-0.00-0	batch1	/data/cephfs/punim0586/rkano/VEGFA/1_VEGFA/porechop/cat/BC2cat.fastq
3	978-5-24	batch1	/data/cephfs/punim0586/rkano/VEGFA/1_VEGFA/porechop/cat/BC3cat.fastq
4	1939-ATM-48	batch1	/data/cephfs/punim0586/rkano/VEGFA/1_VEGFA/porechop/cat/BC4cat.fastq
5	1918-2.50-48	batch1	/data/cephfs/punim0586/rkano/VEGFA/1_VEGFA/porechop/cat/BC5cat.fastq
6	1918-5-4	batch1	/data/cephfs/punim0586/rkano/VEGFA/1_VEGFA/porechop/cat/BC6cat.fastq
7	978-ATM-4	batch1	/data/cephfs/punim0586/rkano/VEGFA/1_VEGFA/porechop/cat/BC7cat.fastq
8	1924-2.50-24	batch1	/data/cephfs/punim0586/rkano/VEGFA/1_VEGFA/porechop/cat/BC8cat.fastq
9	2397-0.00-0	batch2	/data/cephfs/punim0586/rkano/VEGFA/1_VEGFA/porechop/cat/BC9cat.fastq
10	2397-5-4	batch2	/data/cephfs/punim0586/rkano/VEGFA/1_VEGFA/porechop/cat/BC10cat.fastq
11	2397-5-24	batch2	/data/cephfs/punim0586/rkano/VEGFA/1_VEGFA/porechop/cat/BC11cat.fastq
12	2397-ATM-4	batch2	/data/cephfs/punim0586/rkano/VEGFA/1_VEGFA/porechop/cat/BC12cat.fastq
13	1924-5-48	batch2	/data/cephfs/punim0586/rkano/VEGFA/1_VEGFA/porechop/cat/BC13cat.fastq
14	1566-5-48	batch2	/data/cephfs/punim0586/rkano/VEGFA/1_VEGFA/porechop/cat/BC14cat.fastq
15	978-2.50-24	batch2	/data/cephfs/punim0586/rkano/VEGFA/1_VEGFA/porechop/cat/BC15cat.fastq
16	1918-5-48	batch2	/data/cephfs/punim0586/rkano/VEGFA/1_VEGFA/porechop/cat/BC16cat.fastq
17	1924-2.50-4	batch2	/data/cephfs/punim0586/rkano/VEGFA/1_VEGFA/porechop/cat/BC17cat.fastq
18	1566-ATM-24	batch2	/data/cephfs/punim0586/rkano/VEGFA/1_VEGFA/porechop/cat/BC18cat.fastq
19	1939-2.50-48	batch3	/data/cephfs/punim0586/rkano/VEGFA/1_VEGFA/porechop/cat/BC19cat.fastq
20	1939-ATM-24	batch3	/data/cephfs/punim0586/rkano/VEGFA/1_VEGFA/porechop/cat/BC20cat.fastq
21	1924-5-4	batch3	/data/cephfs/punim0586/rkano/VEGFA/1_VEGFA/porechop/cat/BC21cat.fastq
22	1924-0.00-0	batch3	/data/cephfs/punim0586/rkano/VEGFA/1_VEGFA/porechop/cat/BC22cat.fastq
23	1939-5-48	batch3	/data/cephfs/punim0586/rkano/VEGFA/1_VEGFA/porechop/cat/BC23cat.fastq
24	1918-ATM-48	batch3	/data/cephfs/punim0586/rkano/VEGFA/1_VEGFA/porechop/cat/BC24cat.fastq
25	1924-ATM-4	batch3	/data/cephfs/punim0586/rkano/VEGFA/1_VEGFA/porechop/cat/BC25cat.fastq
26	1924-5-24	batch3	/data/cephfs/punim0586/rkano/VEGFA/1_VEGFA/porechop/cat/BC26cat.fastq
27	1939-2.50-24	batch3	/data/cephfs/punim0586/rkano/VEGFA/1_VEGFA/porechop/cat/BC27cat.fastq
28	1566-2.50-4	batch3	/data/cephfs/punim0586/rkano/VEGFA/1_VEGFA/porechop/cat/BC28cat.fastq
29	1566-ATM-48	batch3	/data/cephfs/punim0586/rkano/VEGFA/1_VEGFA/porechop/cat/BC29cat.fastq
30	1918-ATM-24	batch3	/data/cephfs/punim0586/rkano/VEGFA/1_VEGFA/porechop/cat/BC30cat.fastq
31	1566-5-4	batch3	/data/cephfs/punim0586/rkano/VEGFA/1_VEGFA/porechop/cat/BC31cat.fastq
32	978-2.50-4	batch3	/data/cephfs/punim0586/rkano/VEGFA/1_VEGFA/porechop/cat/BC32cat.fastq
33	1566-5-24	batch4	/data/cephfs/punim0586/rkano/VEGFA/1_VEGFA/porechop/cat/BC33cat.fastq
34	1566-0.00-0	batch4	/data/cephfs/punim0586/rkano/VEGFA/1_VEGFA/porechop/cat/BC34cat.fastq
35	1918-ATM-4	batch4	/data/cephfs/punim0586/rkano/VEGFA/1_VEGFA/porechop/cat/BC35cat.fastq
36	1924-ATM-24	batch4	/data/cephfs/punim0586/rkano/VEGFA/1_VEGFA/porechop/cat/BC36cat.fastq
37	1924-ATM-48	batch4	/data/cephfs/punim0586/rkano/VEGFA/1_VEGFA/porechop/cat/BC37cat.fastq
38	1566-2.50-24	batch4	/data/cephfs/punim0586/rkano/VEGFA/1_VEGFA/porechop/cat/BC38cat.fastq
39	2397-2.50-48	batch4	/data/cephfs/punim0586/rkano/VEGFA/1_VEGFA/porechop/cat/BC39cat.fastq
40	978-ATM-48	batch4	/data/cephfs/punim0586/rkano/VEGFA/1_VEGFA/porechop/cat/BC40cat.fastq
41	2397-ATM-48	batch4	/data/cephfs/punim0586/rkano/VEGFA/1_VEGFA/porechop/cat/BC41cat.fastq
42	1566-ATM-4	batch4	/data/cephfs/punim0586/rkano/VEGFA/1_VEGFA/porechop/cat/BC42cat.fastq
43	1939-5-4	batch4	/data/cephfs/punim0586/rkano/VEGFA/1_VEGFA/porechop/cat/BC43cat.fastq
44	1918-5-24	batch4	/data/cephfs/punim0586/rkano/VEGFA/1_VEGFA/porechop/cat/BC44cat.fastq
45	978-ATM-24	batch4	/data/cephfs/punim0586/rkano/VEGFA/1_VEGFA/porechop/cat/BC45cat.fastq
46	2397-5-48	batch4	/data/cephfs/punim0586/rkano/VEGFA/1_VEGFA/porechop/cat/BC46cat.fastq
47	978-5-48	batch5	/data/cephfs/punim0586/rkano/VEGFA/1_VEGFA/porechop/cat/BC47cat.fastq
48	2397-2.50-4	batch5	/data/cephfs/punim0586/rkano/VEGFA/1_VEGFA/porechop/cat/BC48cat.fastq
49	1939-ATM-4	batch5	/data/cephfs/punim0586/rkano/VEGFA/1_VEGFA/porechop/cat/BC49cat.fastq
50	2397-ATM-24	batch5	/data/cephfs/punim0586/rkano/VEGFA/1_VEGFA/porechop/cat/BC50cat.fastq
51	1939-0.00-0	batch5	/data/cephfs/punim0586/rkano/VEGFA/2_VEGFA/porechop/cat/BC61cat.fastq
52	978-2.50-48	batch5	/data/cephfs/punim0586/rkano/VEGFA/2_VEGFA/porechop/cat/BC62cat.fastq
53	1918-0.00-0	batch5	/data/cephfs/punim0586/rkano/VEGFA/2_VEGFA/porechop/cat/BC51cat.fastq
54	1939-5-24	batch5	/data/cephfs/punim0586/rkano/VEGFA/2_VEGFA/porechop/cat/BC52cat.fastq
55	1566-2.50-48	batch5	/data/cephfs/punim0586/rkano/VEGFA/2_VEGFA/porechop/cat/BC53cat.fastq
56	1918-2.50-4	batch5	/data/cephfs/punim0586/rkano/VEGFA/2_VEGFA/porechop/cat/BC54cat.fastq
57	1939-2.50-4	batch5	/data/cephfs/punim0586/rkano/VEGFA/2_VEGFA/porechop/cat/BC55cat.fastq
58	978-5-4	batch5	/data/cephfs/punim0586/rkano/VEGFA/2_VEGFA/porechop/cat/BC56cat.fastq
59	1924-2.50-48	batch5	/data/cephfs/punim0586/rkano/VEGFA/2_VEGFA/porechop/cat/BC57cat.fastq
60	1918-2.50-24	batch5	/data/cephfs/punim0586/rkano/VEGFA/2_VEGFA/porechop/cat/BC58cat.fastq
61	2190-2.5-48	batch6	/data/cephfs/punim0586/rkano/VEGFA/2_VEGFA/porechop/cat/BC59cat.fastq
62	1578-Atm-4	batch6	/data/cephfs/punim0586/rkano/VEGFA/2_VEGFA/porechop/cat/BC60cat.fastq
63	2390-2.5-48	batch6	/data/cephfs/punim0586/rkano/VEGFA/2_VEGFA/porechop/cat/BC73cat.fastq
64	2187-5-4	batch6	/data/cephfs/punim0586/rkano/VEGFA/2_VEGFA/porechop/cat/BC74cat.fastq
65	2187-2.5-48	batch6	/data/cephfs/punim0586/rkano/VEGFA/2_VEGFA/porechop/cat/BC63cat.fastq
66	2390-5-4	batch6	/data/cephfs/punim0586/rkano/VEGFA/2_VEGFA/porechop/cat/BC64cat.fastq
67	2390-Atm-4	batch6	/data/cephfs/punim0586/rkano/VEGFA/2_VEGFA/porechop/cat/BC65cat.fastq
68	2190-Atm-24	batch6	/data/cephfs/punim0586/rkano/VEGFA/2_VEGFA/porechop/cat/BC66cat.fastq
69	2187-5-48	batch6	/data/cephfs/punim0586/rkano/VEGFA/2_VEGFA/porechop/cat/BC67cat.fastq
70	1578-Atm-24	batch6	/data/cephfs/punim0586/rkano/VEGFA/2_VEGFA/porechop/cat/BC68cat.fastq
71	1578-2.5-4	batch6	/data/cephfs/punim0586/rkano/VEGFA/2_VEGFA/porechop/cat/BC69cat.fastq
72	2187-Atm-48	batch6	/data/cephfs/punim0586/rkano/VEGFA/2_VEGFA/porechop/cat/BC70cat.fastq
73	2187-5-24	batch6	/data/cephfs/punim0586/rkano/VEGFA/2_VEGFA/porechop/cat/BC71cat.fastq
74	2190-5-4	batch6	/data/cephfs/punim0586/rkano/VEGFA/2_VEGFA/porechop/cat/BC72cat.fastq
75	2390-Atm-48	batch6	/data/cephfs/punim0586/rkano/VEGFA/2_VEGFA/porechop/cat/BC85cat.fastq
76	2187-2.5-24	batch6	/data/cephfs/punim0586/rkano/VEGFA/2_VEGFA/porechop/cat/BC86cat.fastq
77	1578-5-24	batch6	/data/cephfs/punim0586/rkano/VEGFA/2_VEGFA/porechop/cat/BC75cat.fastq
78	2190-5-24	batch6	/data/cephfs/punim0586/rkano/VEGFA/2_VEGFA/porechop/cat/BC76cat.fastq
79	2390-2.5-4	batch6	/data/cephfs/punim0586/rkano/VEGFA/2_VEGFA/porechop/cat/BC77cat.fastq
80	2190-0-0	batch6	/data/cephfs/punim0586/rkano/VEGFA/2_VEGFA/porechop/cat/BC78cat.fastq
81	2390-Atm-24	batch7	/data/cephfs/punim0586/rkano/VEGFA/2_VEGFA/porechop/cat/BC79cat.fastq
82	2190-2.5-4	batch7	/data/cephfs/punim0586/rkano/VEGFA/2_VEGFA/porechop/cat/BC80cat.fastq
83	2187-0-0	batch7	/data/cephfs/punim0586/rkano/VEGFA/2_VEGFA/porechop/cat/BC81cat.fastq
84	1578-5-48	batch7	/data/cephfs/punim0586/rkano/VEGFA/2_VEGFA/porechop/cat/BC82cat.fastq
85	2190-Atm-48	batch7	/data/cephfs/punim0586/rkano/VEGFA/2_VEGFA/porechop/cat/BC83cat.fastq
86	2187-Atm-24	batch7	/data/cephfs/punim0586/rkano/VEGFA/2_VEGFA/porechop/cat/BC84cat.fastq
87	2190-Atm-4	batch7	/data/cephfs/punim0586/rkano/VEGFA/2_VEGFA/porechop/cat/BC47cat.fastq
88	2190-2.5-24	batch7	/data/cephfs/punim0586/rkano/VEGFA/2_VEGFA/porechop/cat/BC48cat.fastq
89	1578-2.5-48	batch7	/data/cephfs/punim0586/rkano/VEGFA/2_VEGFA/porechop/cat/BC87cat.fastq
90	1578-2.5-24	batch7	/data/cephfs/punim0586/rkano/VEGFA/2_VEGFA/porechop/cat/BC88cat.fastq
91	2390-5-48	batch7	/data/cephfs/punim0586/rkano/VEGFA/2_VEGFA/porechop/cat/BC89cat.fastq
92	1578-0-0	batch7	/data/cephfs/punim0586/rkano/VEGFA/2_VEGFA/porechop/cat/BC90cat.fastq
93	1578-5-4	batch7	/data/cephfs/punim0586/rkano/VEGFA/2_VEGFA/porechop/cat/BC91cat.fastq
94	2390-2.5-24	batch7	/data/cephfs/punim0586/rkano/VEGFA/2_VEGFA/porechop/cat/BC92cat.fastq
95	2390-0-0	batch7	/data/cephfs/punim0586/rkano/VEGFA/2_VEGFA/porechop/cat/BC93cat.fastq
96	2187-Atm-4	batch7	/data/cephfs/punim0586/rkano/VEGFA/2_VEGFA/porechop/cat/BC94cat.fastq
97	2390-5-24	batch7	/data/cephfs/punim0586/rkano/VEGFA/2_VEGFA/porechop/cat/BC95cat.fastq
98	1578-Atm-48	batch7	/data/cephfs/punim0586/rkano/VEGFA/2_VEGFA/porechop/cat/BC96cat.fastq
99	2190-5-48	batch7	/data/cephfs/punim0586/rkano/VEGFA/2_VEGFA/porechop/cat/BC49cat.fastq
100	2187-2.5-4	batch7	/data/cephfs/punim0586/rkano/VEGFA/2_VEGFA/porechop/cat/BC50cat.fastq